date,url,performance,accessibility,best-practices,seo
2025-10-14T05:00:18,https://consort-group.com/,null,1,0.96,0.92
2025-10-14T05:00:18,https://consort-group.com/consortia/,null,0.95,0.96,0.85
2025-10-14T05:00:18,https://consort-group.com/consortis/,null,0.96,0.96,0.85
2025-10-15T05:04:31,https://consort-group.com/,null,1,0.96,0.92
2025-10-15T05:04:31,https://consort-group.com/consortia/,null,0.95,0.96,0.85
2025-10-15T05:04:31,https://consort-group.com/consortis/,null,0.96,0.96,0.85
2025-10-16T05:02:33,https://consort-group.com/,null,0.96,1,0.92
2025-10-16T05:02:33,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-16T05:02:33,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-17T05:01:27,https://consort-group.com/,null,0.96,1,0.92
2025-10-17T05:01:27,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-17T05:01:27,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-18T04:54:36,https://consort-group.com/,null,0.96,1,0.92
2025-10-18T04:54:36,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-18T04:54:36,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-19T05:15:24,https://consort-group.com/,null,0.96,1,0.92
2025-10-19T05:15:24,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-19T05:15:24,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-20T05:14:45,https://consort-group.com/,null,0.96,1,0.92
2025-10-20T05:14:45,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-20T05:14:45,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-21T05:05:30,https://consort-group.com/,null,0.96,1,0.92
2025-10-21T05:05:30,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-21T05:05:30,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-22T05:10:34,https://consort-group.com/,null,0.96,1,0.92
2025-10-22T05:10:34,https://consort-group.com/consortia/,null,0.95,1,0.85
2025-10-22T05:10:34,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-23T05:03:15,https://consort-group.com/,null,0.96,1,0.92
2025-10-23T05:03:15,https://consort-group.com/consortia/,null,0.95,1,0.92
2025-10-23T05:03:15,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-24T04:59:41,https://consort-group.com/,null,0.96,0.93,0.92
2025-10-24T04:59:41,https://consort-group.com/consortia/,null,0.95,1,0.92
2025-10-24T04:59:41,https://consort-group.com/consortis/,null,0.97,1,0.85
2025-10-25T05:01:23,https://consort-group.com/,null,0.96,1,0.92
2025-10-25T05:01:23,https://consort-group.com/consortia/,null,0.95,1,0.92
2025-10-25T05:01:23,https://consort-group.com/consortis/,null,0.97,1,0.85
